DIA=35, FLUID=Isobutane
COP_DATA:
82.57,4.97
87.79,4.65
93.00,4.34
END_ENTRY

DIA=45, FLUID=Isobutene
COP_DATA:
20.00,6.0333
25.21,5.4311
30.43,4.9271
35.64,4.4981
40.86,4.1279
46.07,3.8047
51.29,3.5196
56.50,3.2656
61.71,3.0375
66.93,2.8309
72.14,2.6425
77.36,2.4694
82.57,2.3095
87.79,2.1609
93.00,2.0221
HEAT_DATA:
20.00,10.21
25.21,9.90
30.43,9.58
35.64,9.25
40.86,8.92
46.07,8.59
51.29,8.24
56.50,7.90
61.71,7.55
66.93,7.19
72.14,6.83
77.36,6.47
82.57,6.11
87.79,5.75
93.00,5.39
END_ENTRY

DIA=45, FLUID=DimethylEther
COP_DATA:
20.00,5.1646
25.21,4.6590
30.43,4.2390
35.64,3.8847
40.86,3.5814
46.07,3.3183
51.29,3.0872
56.50,2.8310
61.71,2.6980
66.93,2.5314
72.14,2.3792
77.36,2.2392
82.57,2.1093
87.79,1.9882
93.00,1.8744
HEAT_DATA:
20.00,17.53
25.21,17.05
30.43,16.57
35.64,16.07
40.86,15.56
46.07,15.05
51.29,14.52
56.50,12.39
61.71,13.44
66.93,12.90
72.14,12.34
77.36,11.78
82.57,11.22
87.79,10.65
93.00,10.08
END_ENTRY

DIA=50, FLUID=Isobutane
COP_DATA:
20.00,5.5048
25.21,4.9832
30.43,4.5383
35.64,4.1539
40.86,3.8181
46.07,3.5217
51.29,3.2577
56.50,3.0204
61.71,2.8054
66.93,2.6091
72.14,2.4287
77.36,2.2618
82.57,2.1063
87.79,1.9607
93.00,1.8237
HEAT_DATA:
20.00,13.45
25.21,12.99
30.43,12.54
35.64,12.07
40.86,11.60
46.07,11.13
51.29,10.65
56.50,10.16
61.71,9.67
66.93,9.17
72.14,8.68
77.36,8.18
82.57,7.68
87.79,7.18
93.00,6.68
END_ENTRY

DIA=50, FLUID=Butane
COP_DATA:
20.00,5.5405
25.21,5.0368
30.43,4.6096
35.64,4.2406
40.86,3.9176
46.07,3.6315
51.29,3.3757
56.50,3.1449
61.71,2.9351
66.93,2.7430
72.14,2.5661
77.36,2.4023
82.57,2.2496
87.79,2.1068
93.00,1.9727
HEAT_DATA:
20.00,10.33
25.21,10.00
30.43,9.66
35.64,9.31
40.86,8.96
46.07,8.60
51.29,8.24
56.50,7.87
61.71,7.50
66.93,7.13
72.14,6.75
77.36,6.37
82.57,6.00
87.79,5.62
93.00,5.24
END_ENTRY

DIA=50, FLUID=Isobutene
COP_DATA:
20.00,5.5801
25.21,5.0626
30.43,4.6228
35.64,4.2438
40.86,3.9132
46.07,3.6219
